Province/State,Population,Density
Shanghai,24281.4,3814
Beijing,21536,1322.74
Tianjin,15618.3,1306
Jiangsu,80700,742
Shandong,100702.1,579
Henan,96400,553
Guangdong,115210,481
Zhejiang,58500,460
Anhui,63659,429
Chongqing,31243.2,374
Hebei,75919.7,355
Hubei,59270,325
Hunan,69183.8,304
Liaoning,43517,291
Fujian,39730,285
Jiangxi,46661,247
Hainan,9447.2,224
Shanxi,37292.2,212
Guizhou,36229.5,200
Guangxi,49600,190
Shaanxi,38762.1,185
Sichuan,83750,172
Jilin,26907.3,151
Yunnan,48583,109
Ningxia,6946.6,85
Heilongjiang,37513,81
Gansu,26474.3,57
Inner Mongolia,25396,20
Xinjiang,25232.2,13.1
Qinghai,6078.2,7.2
Tibet,3505.6,2.1
Hong Kong,7500.7,6544
Macau,679.6,20778
